latitude,longitude,value,aqi,so2,no2,o3,value2
52.420277777778,12.552222222222,16.0,68.0,1.1,11.5,1.3,16.0
35.6718388,139.7551457,30.0,18.0,1.5,25.1,11.2,30.0
35.4268139,140.3009496,97.0,21.0,1.5,6.5,16.8,97.0
34.6223426,136.0917954,43.0,30.0,1.5,2.8,27.2,43.0
37.6399941,140.9503931,163.0,30.0,1.5,3.8,14.5,163.0
36.1753983,139.5569693,25.0,55.0,1.5,14.9,5.6,25.0
36.5618783,139.8843513,27.0,50.0,1.5,6.5,9.6,27.0
36.5594257,139.8825654,33.0,50.0,1.5,8.4,8.8,33.0
37.3935821,140.3435799,34.0,38.0,1.5,11.2,0.8,34.0
37.3909309,140.3965114,29.0,38.0,1.5,9.3,0.8,29.0
37.3909309,140.3965114,64.0,38.0,1.5,9.3,0.8,64.0
37.3909309,140.3965114,30.0,38.0,1.5,9.3,0.8,30.0
39.783827,141.148693,48.0,17.0,1.5,3.8,15.2,48.0
40.5845265,140.4747589,26.0,9.0,1.5,4.7,3.2,26.0
39.7621719,140.0816892,40.0,17.0,1.5,1.0,24.8,40.0
40.2110507,140.0197967,43.0,9.0,1.5,1.0,19.2,43.0
40.5845265,140.4747589,26.0,9.0,1.5,4.7,3.2,26.0
40.5845265,140.4747589,31.0,9.0,1.5,4.7,3.2,31.0
37.4940417,139.925646,58.0,17.0,1.5,2.8,10.4,58.0
37.4940417,139.925646,40.0,17.0,1.5,2.8,10.4,40.0
40.5845265,140.4747589,41.0,9.0,1.5,8.4,3.2,41.0
40.5845265,140.4747589,26.0,9.0,1.5,8.4,3.2,26.0
40.5845265,140.4747589,27.0,9.0,1.5,8.4,3.2,27.0
40.5845265,140.4747589,28.0,9.0,1.5,8.4,3.2,28.0
40.5845265,140.4747589,30.0,9.0,1.5,8.4,3.2,30.0
37.3935821,140.3435799,84.0,25.0,1.5,11.2,0.8,84.0
37.2657039,140.9983584,225.0,5.0,1.5,1.0,16.8,225.0
35.9026539,139.9608333,58.0,25.0,1.5,12.1,11.2,58.0
36.203447,140.2849447,54.0,8.0,1.5,9.3,10.4,54.0
37.2657039,140.9983584,130.0,5.0,1.5,1.0,16.8,130.0
37.0661829,138.8774785,43.0,34.0,1.5,6.5,4.0,43.0
36.6470657,139.0431164,40.0,38.0,1.5,6.5,8.0,40.0
36.6470657,139.0431164,48.0,38.0,1.5,6.5,8.0,48.0
36.6470657,139.0431164,43.0,38.0,1.5,6.5,8.0,43.0
37.0661829,138.8774785,32.0,34.0,1.5,6.5,4.0,32.0
37.0661829,138.8774785,39.0,34.0,1.5,6.5,4.0,39.0
37.0661829,138.8774785,35.0,34.0,1.5,6.5,4.0,35.0
37.0661829,138.8774785,32.0,34.0,1.5,6.5,4.0,32.0
37.0661829,138.8774785,45.0,34.0,1.5,6.5,4.0,45.0
37.0661829,138.8774785,43.0,34.0,1.5,6.5,4.0,43.0
37.0661829,138.8774785,41.0,34.0,1.5,6.5,4.0,41.0
35.6905576,139.6022801,37.0,10.0,1.5,18.6,9.6,37.0
37.4698375,138.8599755,40.0,12.0,1.5,6.5,16.8,40.0
36.6470657,139.0431164,49.0,38.0,1.5,6.5,8.0,49.0
37.4698375,138.8599755,47.0,12.0,1.5,6.5,16.8,47.0
37.4698375,138.8599755,39.0,12.0,1.5,6.5,16.8,39.0
37.4698375,138.8599755,37.0,12.0,1.5,6.5,16.8,37.0
39.7039706,140.1026735,29.0,38.0,1.5,3.8,8.8,29.0
39.7039706,140.1026735,45.0,38.0,1.5,3.8,8.8,45.0
39.7039706,140.1026735,29.0,38.0,1.5,3.8,8.8,29.0
36.6470657,139.0431164,47.0,38.0,1.5,6.5,8.0,47.0
36.6470657,139.0431164,41.0,38.0,1.5,6.5,8.0,41.0
35.8958613,139.796987,35.0,55.0,1.5,19.5,3.2,35.0
36.6470657,139.0431164,38.0,38.0,1.5,6.5,8.0,38.0
36.6470657,139.0431164,41.0,38.0,1.5,6.5,8.0,41.0
35.8958613,139.796987,46.0,50.0,1.5,21.3,0.8,46.0
36.0344399,139.9917974,41.0,34.0,1.5,7.5,12.1,41.0
36.0344399,139.9917974,41.0,34.0,1.5,7.5,12.1,41.0
36.0344399,139.9917974,35.0,34.0,1.5,7.5,12.1,35.0
36.0344399,139.9917974,41.0,34.0,1.5,7.5,12.1,41.0
36.0344399,139.9917974,36.0,34.0,1.5,7.5,12.1,36.0
36.0344399,139.9917974,55.0,34.0,1.5,7.5,12.1,55.0
35.8624488,140.0773899,42.0,34.0,1.5,12.1,8.8,42.0
35.7281461,140.2063487,41.0,25.0,1.5,7.5,9.6,41.0
35.7281461,140.2063487,51.0,25.0,1.5,7.5,9.6,51.0
35.6899961,139.8276503,41.0,11.0,1.5,14.9,13.6,41.0
36.0437281,140.1674756,51.0,42.0,1.5,13.9,8.8,51.0
36.0344399,139.9917974,38.0,34.0,1.5,7.5,12.1,38.0
36.0344399,139.9917974,40.0,34.0,1.5,7.5,12.1,40.0
35.6947058,139.982618,35.0,30.0,1.5,11.2,13.6,35.0
